80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:0027 S:0133 D:0E68 DB:86 nvMXdizC V:248 H:198 F:18
				828222 38          SEC                    A:781E X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizc V:249 H:191 F:18
				828223 A5 07       LDA $07       [000E6F] A:781E X:0004 Y:0027 S:0128 D:0E68 DB:86 nvmXdizC V:249 H:194 F:18
				828225 E5 1C       SBC $1C       [000E84] A:AC00 X:0004 Y:0027 S:0128 D:0E68 DB:86 NvmXdizC V:249 H:203 F:18
				828227 85 07       STA $07       [000E6F] A:A3C2 X:0004 Y:0027 S:0128 D:0E68 DB:86 NvmXdizC V:249 H:211 F:18
				828229 E2 20       SEP #$20               A:A3C2 X:0004 Y:0027 S:0128 D:0E68 DB:86 NvmXdizC V:249 H:220 F:18
				82822B 9C 00 00    STZ $0000     [860000] A:A3C2 X:0004 Y:0027 S:0128 D:0E68 DB:86 NvMXdizC V:249 H:224 F:18
				82822E 24 1D       BIT $1D       [000E85] A:A3C2 X:0004 Y:0027 S:0128 D:0E68 DB:86 NvMXdizC V:249 H:231 F:18
				828230 10 03       BPL $0003     [828235] A:A3C2 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvMXdiZC V:249 H:237 F:18
				828235 A5 09       LDA $09       [000E71] A:A3C2 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvMXdiZC V:249 H:242 F:18
				828237 ED 00 00    SBC $0000     [860000] A:A301 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvMXdizC V:249 H:248 F:18
				82823A 85 09       STA $09       [000E71] A:A301 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvMXdizC V:249 H:255 F:18
				82823C 28          PLP                    A:A301 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvMXdizC V:249 H:261 F:18
				82823D 6B          RTL                    A:A301 X:0004 Y:0027 S:0129 D:0E68 DB:86 nvMXdizc V:249 H:268 F:18

			81B98D 22 BE 91 84 JSL $8491BE   [8491BE] A:A301 X:0004 Y:0027 S:012C D:0E68 DB:86 nvMXdizc V:249 H:278 F:18				JSL $8491BE --> Check for colissions and adjust position 

				8491BE 08          PHP                    A:A301 X:0004 Y:0027 S:0129 D:0E68 DB:86 nvMXdizc V:249 H:292 F:18
				8491BF 0B          PHD                    A:A301 X:0004 Y:0027 S:0128 D:0E68 DB:86 nvMXdizc V:249 H:297 F:18
				8491C0 C2 30       REP #$30               A:A301 X:0004 Y:0027 S:0126 D:0E68 DB:86 nvMXdizc V:249 H:304 F:18
				8491C2 A5 20       LDA $20       [000E88] A:A301 X:0004 Y:0027 S:0126 D:0E68 DB:86 nvmxdizc V:249 H:308 F:18
				8491C4 F0 15       BEQ $0015     [8491DB] A:C42D X:0004 Y:0027 S:0126 D:0E68 DB:86 Nvmxdizc V:249 H:317 F:18
				8491C6 7B          TDC                    A:C42D X:0004 Y:0027 S:0126 D:0E68 DB:86 Nvmxdizc V:249 H:320 F:18
				8491C7 AA          TAX                    A:0E68 X:0004 Y:0027 S:0126 D:0E68 DB:86 nvmxdizc V:249 H:323 F:18
				8491C8 A9 00 00    LDA #$0000             A:0E68 X:0E68 Y:0027 S:0126 D:0E68 DB:86 nvmxdizc V:249 H:325 F:18
				8491CB 5B          TCD                    A:0000 X:0E68 Y:0027 S:0126 D:0E68 DB:86 nvmxdiZc V:249 H:329 F:18
				8491CC 64 14       STZ $14       [000014] A:0000 X:0E68 Y:0027 S:0126 D:0000 DB:86 nvmxdiZc V:249 H:332 F:18
				8491CE B5 2B       LDA $2B,X     [000E93] A:0000 X:0E68 Y:0027 S:0126 D:0000 DB:86 nvmxdiZc V:249 H:339 F:18
				8491D0 29 00 FF    AND #$FF00             A:0004 X:0E68 Y:0027 S:0126 D:0000 DB:86 nvmxdizc V:250 H:  8 F:18
				8491D3 95 2B       STA $2B,X     [000E93] A:0000 X:0E68 Y:0027 S:0126 D:0000 DB:86 nvmxdiZc V:250 H: 12 F:18
				8491D5 20 AC 92    JSR $92AC     [8492AC] A:0000 X:0E68 Y:0027 S:0126 D:0000 DB:86 nvmxdiZc V:250 H: 21 F:18

					8492AC C2 30       REP #$30               A:0000 X:0E68 Y:0027 S:0124 D:0000 DB:86 nvmxdiZc V:250 H: 31 F:18
					8492AE B5 05       LDA $05,X     [000E6D] A:0000 X:0E68 Y:0027 S:0124 D:0000 DB:86 nvmxdiZc V:250 H: 35 F:18
					8492B0 38          SEC                    A:1E78 X:0E68 Y:0027 S:0124 D:0000 DB:86 nvmxdizc V:250 H: 44 F:18
					8492B1 F5 22       SBC $22,X     [000E8A] A:1E78 X:0E68 Y:0027 S:0124 D:0000 DB:86 nvmxdizC V:250 H: 47 F:18
					8492B3 85 00       STA $00       [000000] A:0002 X:0E68 Y:0027 S:0124 D:0000 DB:86 nvmxdizC V:250 H: 55 F:18
					8492B5 E2 20       SEP #$20               A:0002 X:0E68 Y:0027 S:0124 D:0000 DB:86 nvmxdizC V:250 H: 62 F:18
					8492B7 F0 4C       BEQ $004C     [849305] A:0002 X:0E68 Y:0027 S:0124 D:0000 DB:86 nvMxdizC V:250 H: 67 F:18
					8492B9 B4 20       LDY $20,X     [000E88] A:0002 X:0E68 Y:0027 S:0124 D:0000 DB:86 nvMxdizC V:250 H: 70 F:18
					8492BB B9 05 00    LDA $0005,Y   [86C432] A:0002 X:0E68 Y:C42D S:0124 D:0000 DB:86 NvMxdizC V:250 H: 78 F:18
					8492BE 34 11       BIT $11,X     [000E79] A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdiZC V:250 H: 86 F:18
					8492C0 50 03       BVC $0003     [8492C5] A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nVMxdiZC V:250 H: 92 F:18
					8492C2 49 FF       EOR #$FF               A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nVMxdiZC V:250 H: 95 F:18
					8492C4 1A          INC                    A:00FF X:0E68 Y:C42D S:0124 D:0000 DB:86 NVMxdizC V:250 H: 98 F:18
					8492C5 24 00       BIT $00       [000000] A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nVMxdiZC V:250 H:101 F:18
					8492C7 10 06       BPL $0006     [8492CF] A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdiZC V:250 H:106 F:18
					8492CF 18          CLC                    A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdiZC V:250 H:111 F:18
					8492D0 79 07 00    ADC $0007,Y   [86C434] A:0000 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdiZc V:250 H:114 F:18
					8492D3 95 29       STA $29,X     [000E91] A:000E X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdizc V:250 H:121 F:18
					8492D5 B9 06 00    LDA $0006,Y   [86C433] A:000E X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdizc V:250 H:128 F:18
					8492D8 95 2A       STA $2A,X     [000E92] A:0002 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdizc V:250 H:145 F:18
					8492DA 20 15 93    JSR $9315     [849315] A:0002 X:0E68 Y:C42D S:0124 D:0000 DB:86 nvMxdizc V:250 H:152 F:18

						849315 20 B3 90    JSR $90B3     [8490B3] A:0002 X:0E68 Y:C42D S:0122 D:0000 DB:86 nvMxdizc V:250 H:162 F:18

							8490B3 0B          PHD                    A:0002 X:0E68 Y:C42D S:0120 D:0000 DB:86 nvMxdizc V:250 H:172 F:18
							8490B4 DA          PHX                    A:0002 X:0E68 Y:C42D S:011E D:0000 DB:86 nvMxdizc V:250 H:179 F:18
							8490B5 08          PHP                    A:0002 X:0E68 Y:C42D S:011C D:0000 DB:86 nvMxdizc V:250 H:186 F:18
							8490B6 E2 20       SEP #$20               A:0002 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:191 F:18
							8490B8 C2 10       REP #$10               A:0002 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:195 F:18
							8490BA 64 01       STZ $01       [000001] A:0002 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:200 F:18
							8490BC B5 29       LDA $29,X     [000E91] A:0002 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:205 F:18
							8490BE 10 02       BPL $0002     [8490C2] A:000E X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:211 F:18
							8490C2 18          CLC                    A:000E X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:216 F:18
							8490C3 75 05       ADC $05,X     [000E6D] A:000E X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:219 F:18
							8490C5 85 00       STA $00       [000000] A:0086 X:0E68 Y:C42D S:011B D:0000 DB:86 NVMxdizc V:250 H:225 F:18
							8490C7 B5 06       LDA $06,X     [000E6E] A:0086 X:0E68 Y:C42D S:011B D:0000 DB:86 NVMxdizc V:250 H:230 F:18
							8490C9 65 01       ADC $01       [000001] A:001E X:0E68 Y:C42D S:011B D:0000 DB:86 nVMxdizc V:250 H:237 F:18
							8490CB 85 01       STA $01       [000001] A:001E X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:242 F:18
							8490CD 64 03       STZ $03       [000003] A:001E X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:247 F:18
							8490CF B5 2A       LDA $2A,X     [000E92] A:001E X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:252 F:18
							8490D1 10 02       BPL $0002     [8490D5] A:0002 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:258 F:18
							8490D5 18          CLC                    A:0002 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:263 F:18
							8490D6 75 08       ADC $08,X     [000E70] A:0002 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:266 F:18
							8490D8 85 02       STA $02       [000002] A:00A5 X:0E68 Y:C42D S:011B D:0000 DB:86 NvMxdizc V:250 H:272 F:18
							8490DA 29 F0       AND #$F0               A:00A5 X:0E68 Y:C42D S:011B D:0000 DB:86 NvMxdizc V:250 H:277 F:18
							8490DC 85 0A       STA $0A       [00000A] A:00A0 X:0E68 Y:C42D S:011B D:0000 DB:86 NvMxdizc V:250 H:280 F:18
							8490DE B5 09       LDA $09,X     [000E71] A:00A0 X:0E68 Y:C42D S:011B D:0000 DB:86 NvMxdizc V:250 H:285 F:18
							8490E0 65 03       ADC $03       [000003] A:0001 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:292 F:18
							8490E2 85 03       STA $03       [000003] A:0001 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:297 F:18
							8490E4 85 0B       STA $0B       [00000B] A:0001 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:302 F:18
							8490E6 A5 00       LDA $00       [000000] A:0001 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:307 F:18
							8490E8 29 0F       AND #$0F               A:0086 X:0E68 Y:C42D S:011B D:0000 DB:86 NvMxdizc V:250 H:312 F:18
							8490EA 1A          INC                    A:0006 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:315 F:18
							8490EB 85 0C       STA $0C       [00000C] A:0007 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:318 F:18
							8490ED A5 02       LDA $02       [000002] A:0007 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:323 F:18
							8490EF 29 0F       AND #$0F               A:00A5 X:0E68 Y:C42D S:011B D:0000 DB:86 NvMxdizc V:250 H:327 F:18
							8490F1 1A          INC                    A:0005 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:330 F:18
							8490F2 85 0E       STA $0E       [00000E] A:0006 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:333 F:18
							8490F4 C2 20       REP #$20               A:0006 X:0E68 Y:C42D S:011B D:0000 DB:86 nvMxdizc V:250 H:338 F:18
							8490F6 20 6A 91    JSR $916A     [84916A] A:0006 X:0E68 Y:C42D S:011B D:0000 DB:86 nvmxdizc V:251 H:  2 F:18

								84916A A9 00 E8    LDA #$E800             A:0006 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H: 12 F:18
								84916D 85 10       STA $10       [000010] A:E800 X:0E68 Y:C42D S:0119 D:0000 DB:86 Nvmxdizc V:251 H: 17 F:18
								84916F A9 7E 00    LDA #$007E             A:E800 X:0E68 Y:C42D S:0119 D:0000 DB:86 Nvmxdizc V:251 H: 24 F:18
								849172 85 12       STA $12       [000012] A:007E X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H: 28 F:18
								849174 A5 02       LDA $02       [000002] A:007E X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H: 35 F:18
								849176 29 F0 00    AND #$00F0             A:01A5 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H: 42 F:18
								849179 0A          ASL A                  A:00A0 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H: 47 F:18
								84917A 85 04       STA $04       [000004] A:0140 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H: 50 F:18
								84917C A5 00       LDA $00       [000000] A:0140 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H: 57 F:18
								84917E 29 FF 00    AND #$00FF             A:1E86 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H: 64 F:18
								849181 4A          LSR A                  A:0086 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H: 68 F:18
								849182 4A          LSR A                  A:0043 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H: 71 F:18
								849183 4A          LSR A                  A:0021 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizC V:251 H: 74 F:18
								849184 29 FE FF    AND #$FFFE             A:0010 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizC V:251 H: 77 F:18
								849187 18          CLC                    A:0010 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizC V:251 H: 82 F:18
								849188 65 04       ADC $04       [000004] A:0010 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H: 85 F:18
								84918A 85 06       STA $06       [000006] A:0150 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H: 92 F:18
								84918C A5 00       LDA $00       [000000] A:0150 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H: 99 F:18
								84918E EB          XBA                    A:1E86 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H:106 F:18
								84918F 29 1F 00    AND #$001F             A:861E X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H:110 F:18
								849192 85 04       STA $04       [000004] A:001E X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H:115 F:18
								849194 A5 02       LDA $02       [000002] A:001E X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H:122 F:18
								849196 29 00 1F    AND #$1F00             A:01A5 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H:129 F:18
								849199 4A          LSR A                  A:0100 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H:133 F:18
								84919A 4A          LSR A                  A:0080 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H:146 F:18
								84919B 4A          LSR A                  A:0040 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H:149 F:18
								84919C 18          CLC                    A:0020 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H:152 F:18
								84919D 65 04       ADC $04       [000004] A:0020 X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H:155 F:18
								84919F A8          TAY                    A:003E X:0E68 Y:C42D S:0119 D:0000 DB:86 nvmxdizc V:251 H:162 F:18
								8491A0 B7 10       LDA [$10],Y   [7EE83E] A:003E X:0E68 Y:003E S:0119 D:0000 DB:86 nvmxdizc V:251 H:165 F:18
								8491A2 29 FF 00    AND #$00FF             A:0005 X:0E68 Y:003E S:0119 D:0000 DB:86 nvmxdizc V:251 H:178 F:18
								8491A5 A8          TAY                    A:0005 X:0E68 Y:003E S:0119 D:0000 DB:86 nvmxdizc V:251 H:183 F:18
								8491A6 EB          XBA                    A:0005 X:0E68 Y:0005 S:0119 D:0000 DB:86 nvmxdizc V:251 H:186 F:18
								8491A7 0A          ASL A                  A:0500 X:0E68 Y:0005 S:0119 D:0000 DB:86 nvmxdiZc V:251 H:190 F:18
								8491A8 18          CLC                    A:0A00 X:0E68 Y:0005 S:0119 D:0000 DB:86 nvmxdizc V:251 H:193 F:18
								8491A9 65 06       ADC $06       [000006] A:0A00 X:0E68 Y:0005 S:0119 D:0000 DB:86 nvmxdizc V:251 H:196 F:18
								8491AB AA          TAX                    A:0B50 X:0E68 Y:0005 S:0119 D:0000 DB:86 nvmxdizc V:251 H:203 F:18
								8491AC 60          RTS                    A:0B50 X:0B50 Y:0005 S:0119 D:0000 DB:86 nvmxdizc V:251 H:206 F:18

							8490F9 BF 00 20 7E LDA $7E2000,X [7E2B50] A:0B50 X:0B50 Y:0005 S:011B D:0000 DB:86 nvmxdizc V:251 H:216 F:18
							8490FD A8          TAY                    A:02CF X:0B50 Y:0005 S:011B D:0000 DB:86 nvmxdizc V:251 H:226 F:18
							8490FE AD 92 0B    LDA $0B92     [860B92] A:02CF X:0B50 Y:02CF S:011B D:0000 DB:86 nvmxdizc V:251 H:229 F:18
							849101 85 10       STA $10       [000010] A:EDC3 X:0B50 Y:02CF S:011B D:0000 DB:86 Nvmxdizc V:251 H:238 F:18
							849103 AD 94 0B    LDA $0B94     [860B94] A:EDC3 X:0B50 Y:02CF S:011B D:0000 DB:86 Nvmxdizc V:251 H:245 F:18
							849106 85 12       STA $12       [000012] A:E095 X:0B50 Y:02CF S:011B D:0000 DB:86 Nvmxdizc V:251 H:253 F:18
							849108 B7 10       LDA [$10],Y   [95F092] A:E095 X:0B50 Y:02CF S:011B D:0000 DB:86 Nvmxdizc V:251 H:260 F:18	Load Tile colission
							84910A 29 FF 00    AND #$00FF             A:0000 X:0B50 Y:02CF S:011B D:0000 DB:86 nvmxdiZc V:251 H:272 F:18
							84910D 28          PLP                    A:0000 X:0B50 Y:02CF S:011B D:0000 DB:86 nvmxdiZc V:251 H:277 F:18
							84910E FA          PLX                    A:0000 X:0B50 Y:02CF S:011C D:0000 DB:86 nvMxdizc V:251 H:283 F:18
							84910F 2B          PLD                    A:0000 X:0E68 Y:02CF S:011E D:0000 DB:86 nvMxdizc V:251 H:292 F:18
							849110 60          RTS                    A:0000 X:0E68 Y:02CF S:0120 D:0000 DB:86 nvMxdiZc V:251 H:300 F:18

						849318 B4 05       LDY $05,X     [000E6D] A:0000 X:0E68 Y:02CF S:0122 D:0000 DB:86 nvMxdiZc V:251 H:310 F:18
						84931A 84 10       STY $10       [000010] A:0000 X:0E68 Y:1E78 S:0122 D:0000 DB:86 nvMxdizc V:251 H:319 F:18
						84931C B4 08       LDY $08,X     [000E70] A:0000 X:0E68 Y:1E78 S:0122 D:0000 DB:86 nvMxdizc V:251 H:325 F:18
						84931E 84 12       STY $12       [000012] A:0000 X:0E68 Y:01A3 S:0122 D:0000 DB:86 nvMxdizc V:251 H:333 F:18
						849320 95 2D       STA $2D,X     [000E95] A:0000 X:0E68 Y:01A3 S:0122 D:0000 DB:86 nvMxdizc V:252 H:  0 F:18
						849322 86 2C       STX $2C       [00002C] A:0000 X:0E68 Y:01A3 S:0122 D:0000 DB:86 nvMxdizc V:252 H:  7 F:18
						849324 29 3F       AND #$3F               A:0000 X:0E68 Y:01A3 S:0122 D:0000 DB:86 nvMxdizc V:252 H: 14 F:18
						849326 0A          ASL A                  A:0000 X:0E68 Y:01A3 S:0122 D:0000 DB:86 nvMxdiZc V:252 H: 17 F:18
						849327 EB          XBA                    A:0000 X:0E68 Y:01A3 S:0122 D:0000 DB:86 nvMxdiZc V:252 H: 20 F:18
						849328 A9 00       LDA #$00               A:0000 X:0E68 Y:01A3 S:0122 D:0000 DB:86 nvMxdiZc V:252 H: 24 F:18
						84932A EB          XBA                    A:0000 X:0E68 Y:01A3 S:0122 D:0000 DB:86 nvMxdiZc V:252 H: 27 F:18
						84932B AA          TAX                    A:0000 X:0E68 Y:01A3 S:0122 D:0000 DB:86 nvMxdiZc V:252 H: 32 F:18
