80D4F6 20 30 D5    JSR $D530     [80D530] A:0E01 X:0000 Y:00AA S:0133 D:0E68 DB:86 nvMXdizC V:258 H: 63 F:17
				828241 A5 04       LDA $04       [000E6C] A:0380 X:0002 Y:00AA S:0128 D:0E68 DB:86 NvmXdizc V:259 H: 12 F:17
				828243 65 1A       ADC $1A       [000E82] A:7F60 X:0002 Y:00AA S:0128 D:0E68 DB:86 nvmXdizc V:259 H: 20 F:17
				828245 85 04       STA $04       [000E6C] A:7EE0 X:0002 Y:00AA S:0128 D:0E68 DB:86 nvmXdizC V:259 H: 29 F:17
				828247 E2 20       SEP #$20               A:7EE0 X:0002 Y:00AA S:0128 D:0E68 DB:86 nvmXdizC V:259 H: 37 F:17
				828249 24 1B       BIT $1B       [000E83] A:7EE0 X:0002 Y:00AA S:0128 D:0E68 DB:86 nvMXdizC V:259 H: 42 F:17
				82824B 30 08       BMI $0008     [828255] A:7EE0 X:0002 Y:00AA S:0128 D:0E68 DB:86 NVMXdizC V:259 H: 48 F:17
				828255 A5 06       LDA $06       [000E6E] A:7EE0 X:0002 Y:00AA S:0128 D:0E68 DB:86 NVMXdizC V:259 H: 53 F:17
				828257 69 FF       ADC #$FF               A:7E1D X:0002 Y:00AA S:0128 D:0E68 DB:86 nVMXdizC V:259 H: 59 F:17
				828259 85 06       STA $06       [000E6E] A:7E1D X:0002 Y:00AA S:0128 D:0E68 DB:86 nvMXdizC V:259 H: 62 F:17
				82825B 28          PLP                    A:7E1D X:0002 Y:00AA S:0128 D:0E68 DB:86 nvMXdizC V:259 H: 69 F:17
				82825C 6B          RTL                    A:7E1D X:0002 Y:00AA S:0129 D:0E68 DB:86 NvMXdizc V:259 H: 75 F:17

			88A0DA C2 20       REP #$20               A:7E1D X:0002 Y:00AA S:012C D:0E68 DB:86 NvMXdizc V:259 H: 86 F:17
			88A0DC A9 D1 CF    LDA #$CFD1             A:7E1D X:0002 Y:00AA S:012C D:0E68 DB:86 NvmXdizc V:259 H: 90 F:17
			88A0DF 85 20       STA $20       [000E88] A:CFD1 X:0002 Y:00AA S:012C D:0E68 DB:86 NvmXdizc V:259 H: 95 F:17
			88A0E1 E2 20       SEP #$20               A:CFD1 X:0002 Y:00AA S:012C D:0E68 DB:86 NvmXdizc V:259 H:103 F:17
			88A0E3 22 BE 91 84 JSL $8491BE   [8491BE] A:CFD1 X:0002 Y:00AA S:012C D:0E68 DB:86 NvMXdizc V:259 H:108 F:17

				8491BE 08          PHP                    A:CFD1 X:0002 Y:00AA S:0129 D:0E68 DB:86 NvMXdizc V:259 H:121 F:17
				8491BF 0B          PHD                    A:CFD1 X:0002 Y:00AA S:0128 D:0E68 DB:86 NvMXdizc V:259 H:126 F:17
				8491C0 C2 30       REP #$30               A:CFD1 X:0002 Y:00AA S:0126 D:0E68 DB:86 NvMXdizc V:259 H:133 F:17
				8491C2 A5 20       LDA $20       [000E88] A:CFD1 X:0002 Y:00AA S:0126 D:0E68 DB:86 Nvmxdizc V:259 H:148 F:17
				8491C4 F0 15       BEQ $0015     [8491DB] A:CFD1 X:0002 Y:00AA S:0126 D:0E68 DB:86 Nvmxdizc V:259 H:156 F:17
				8491C6 7B          TDC                    A:CFD1 X:0002 Y:00AA S:0126 D:0E68 DB:86 Nvmxdizc V:259 H:159 F:17
				8491C7 AA          TAX                    A:0E68 X:0002 Y:00AA S:0126 D:0E68 DB:86 nvmxdizc V:259 H:162 F:17
				8491C8 A9 00 00    LDA #$0000             A:0E68 X:0E68 Y:00AA S:0126 D:0E68 DB:86 nvmxdizc V:259 H:165 F:17
				8491CB 5B          TCD                    A:0000 X:0E68 Y:00AA S:0126 D:0E68 DB:86 nvmxdiZc V:259 H:170 F:17
				8491CC 64 14       STZ $14       [000014] A:0000 X:0E68 Y:00AA S:0126 D:0000 DB:86 nvmxdiZc V:259 H:173 F:17
				8491CE B5 2B       LDA $2B,X     [000E93] A:0000 X:0E68 Y:00AA S:0126 D:0000 DB:86 nvmxdiZc V:259 H:180 F:17
				8491D0 29 00 FF    AND #$FF00             A:0000 X:0E68 Y:00AA S:0126 D:0000 DB:86 nvmxdiZc V:259 H:188 F:17
				8491D3 95 2B       STA $2B,X     [000E93] A:0000 X:0E68 Y:00AA S:0126 D:0000 DB:86 nvmxdiZc V:259 H:193 F:17
				8491D5 20 AC 92    JSR $92AC     [8492AC] A:0000 X:0E68 Y:00AA S:0126 D:0000 DB:86 nvmxdiZc V:259 H:201 F:17

					8492AC C2 30       REP #$30               A:0000 X:0E68 Y:00AA S:0124 D:0000 DB:86 nvmxdiZc V:259 H:211 F:17
					8492AE B5 05       LDA $05,X     [000E6D] A:0000 X:0E68 Y:00AA S:0124 D:0000 DB:86 nvmxdiZc V:259 H:216 F:17
					8492B0 38          SEC                    A:1D7E X:0E68 Y:00AA S:0124 D:0000 DB:86 nvmxdizc V:259 H:224 F:17
					8492B1 F5 22       SBC $22,X     [000E8A] A:1D7E X:0E68 Y:00AA S:0124 D:0000 DB:86 nvmxdizC V:259 H:227 F:17
					8492B3 85 00       STA $00       [000000] A:FFFF X:0E68 Y:00AA S:0124 D:0000 DB:86 Nvmxdizc V:259 H:236 F:17
					8492B5 E2 20       SEP #$20               A:FFFF X:0E68 Y:00AA S:0124 D:0000 DB:86 Nvmxdizc V:259 H:243 F:17
					8492B7 F0 4C       BEQ $004C     [849305] A:FFFF X:0E68 Y:00AA S:0124 D:0000 DB:86 NvMxdizc V:259 H:247 F:17
					8492B9 B4 20       LDY $20,X     [000E88] A:FFFF X:0E68 Y:00AA S:0124 D:0000 DB:86 NvMxdizc V:259 H:250 F:17
					8492BB B9 05 00    LDA $0005,Y   [86CFD6] A:FFFF X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizc V:259 H:259 F:17
					8492BE 34 11       BIT $11,X     [000E79] A:FFE8 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizc V:259 H:266 F:17
					8492C0 50 03       BVC $0003     [8492C5] A:FFE8 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nvMxdizc V:259 H:273 F:17
					8492C5 24 00       BIT $00       [000000] A:FFE8 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 nvMxdizc V:259 H:277 F:17
					8492C7 10 06       BPL $0006     [8492CF] A:FFE8 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NVMxdizc V:259 H:282 F:17
					8492C9 38          SEC                    A:FFE8 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NVMxdizc V:259 H:285 F:17
					8492CA F9 07 00    SBC $0007,Y   [86CFD8] A:FFE8 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NVMxdizC V:259 H:288 F:17
					8492CD 80 04       BRA $0004     [8492D3] A:FFD0 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizC V:259 H:296 F:17
					8492D3 95 29       STA $29,X     [000E91] A:FFD0 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizC V:259 H:300 F:17
					8492D5 B9 06 00    LDA $0006,Y   [86CFD7] A:FFD0 X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizC V:259 H:307 F:17
					8492D8 95 2A       STA $2A,X     [000E92] A:FFFC X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizC V:259 H:314 F:17
					8492DA 20 15 93    JSR $9315     [849315] A:FFFC X:0E68 Y:CFD1 S:0124 D:0000 DB:86 NvMxdizC V:259 H:321 F:17

						849315 20 B3 90    JSR $90B3     [8490B3] A:FFFC X:0E68 Y:CFD1 S:0122 D:0000 DB:86 NvMxdizC V:259 H:330 F:17

							8490B3 0B          PHD                    A:FFFC X:0E68 Y:CFD1 S:0120 D:0000 DB:86 NvMxdizC V:260 H:  0 F:17
							8490B4 DA          PHX                    A:FFFC X:0E68 Y:CFD1 S:011E D:0000 DB:86 NvMxdizC V:260 H:  7 F:17
							8490B5 08          PHP                    A:FFFC X:0E68 Y:CFD1 S:011C D:0000 DB:86 NvMxdizC V:260 H: 14 F:17
							8490B6 E2 20       SEP #$20               A:FFFC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H: 19 F:17
							8490B8 C2 10       REP #$10               A:FFFC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H: 23 F:17
							8490BA 64 01       STZ $01       [000001] A:FFFC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H: 28 F:17
							8490BC B5 29       LDA $29,X     [000E91] A:FFFC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H: 33 F:17
							8490BE 10 02       BPL $0002     [8490C2] A:FFD0 X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H: 39 F:17
							8490C0 C6 01       DEC $01       [000001] A:FFD0 X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H: 42 F:17
							8490C2 18          CLC                    A:FFD0 X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H: 51 F:17
							8490C3 75 05       ADC $05,X     [000E6D] A:FFD0 X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:260 H: 54 F:17
							8490C5 85 00       STA $00       [000000] A:FF4E X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H: 60 F:17
							8490C7 B5 06       LDA $06,X     [000E6E] A:FF4E X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H: 65 F:17
							8490C9 65 01       ADC $01       [000001] A:FF1D X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H: 72 F:17
							8490CB 85 01       STA $01       [000001] A:FF1D X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H: 77 F:17
							8490CD 64 03       STZ $03       [000003] A:FF1D X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H: 82 F:17
							8490CF B5 2A       LDA $2A,X     [000E92] A:FF1D X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H: 87 F:17
							8490D1 10 02       BPL $0002     [8490D5] A:FFFC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H: 93 F:17
							8490D3 C6 03       DEC $03       [000003] A:FFFC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H: 96 F:17
							8490D5 18          CLC                    A:FFFC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H:105 F:17
							8490D6 75 08       ADC $08,X     [000E70] A:FFFC X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizc V:260 H:108 F:17
							8490D8 85 02       STA $02       [000002] A:FF9E X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H:114 F:17
							8490DA 29 F0       AND #$F0               A:FF9E X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H:119 F:17
							8490DC 85 0A       STA $0A       [00000A] A:FF90 X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H:122 F:17
							8490DE B5 09       LDA $09,X     [000E71] A:FF90 X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H:127 F:17
							8490E0 65 03       ADC $03       [000003] A:FF03 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H:144 F:17
							8490E2 85 03       STA $03       [000003] A:FF03 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H:149 F:17
							8490E4 85 0B       STA $0B       [00000B] A:FF03 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H:154 F:17
							8490E6 A5 00       LDA $00       [000000] A:FF03 X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H:159 F:17
							8490E8 29 0F       AND #$0F               A:FF4E X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H:164 F:17
							8490EA 1A          INC                    A:FF0E X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H:167 F:17
							8490EB 85 0C       STA $0C       [00000C] A:FF0F X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H:170 F:17
							8490ED A5 02       LDA $02       [000002] A:FF0F X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H:175 F:17
							8490EF 29 0F       AND #$0F               A:FF9E X:0E68 Y:CFD1 S:011B D:0000 DB:86 NvMxdizC V:260 H:180 F:17
							8490F1 1A          INC                    A:FF0E X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H:183 F:17
							8490F2 85 0E       STA $0E       [00000E] A:FF0F X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H:186 F:17
							8490F4 C2 20       REP #$20               A:FF0F X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvMxdizC V:260 H:191 F:17
							8490F6 20 6A 91    JSR $916A     [84916A] A:FF0F X:0E68 Y:CFD1 S:011B D:0000 DB:86 nvmxdizC V:260 H:195 F:17

								84916A A9 00 E8    LDA #$E800             A:FF0F X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:260 H:205 F:17
								84916D 85 10       STA $10       [000010] A:E800 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 NvmxdizC V:260 H:210 F:17
								84916F A9 7E 00    LDA #$007E             A:E800 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 NvmxdizC V:260 H:217 F:17
								849172 85 12       STA $12       [000012] A:007E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:260 H:221 F:17
								849174 A5 02       LDA $02       [000002] A:007E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:260 H:228 F:17
								849176 29 F0 00    AND #$00F0             A:039E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:260 H:235 F:17
								849179 0A          ASL A                  A:0090 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:260 H:240 F:17
								84917A 85 04       STA $04       [000004] A:0120 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:243 F:17
								84917C A5 00       LDA $00       [000000] A:0120 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:250 F:17
								84917E 29 FF 00    AND #$00FF             A:1D4E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:257 F:17
								849181 4A          LSR A                  A:004E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:261 F:17
								849182 4A          LSR A                  A:0027 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:264 F:17
								849183 4A          LSR A                  A:0013 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:260 H:267 F:17
								849184 29 FE FF    AND #$FFFE             A:0009 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:260 H:270 F:17
								849187 18          CLC                    A:0008 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizC V:260 H:275 F:17
								849188 65 04       ADC $04       [000004] A:0008 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:278 F:17
								84918A 85 06       STA $06       [000006] A:0128 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:285 F:17
								84918C A5 00       LDA $00       [000000] A:0128 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:292 F:17
								84918E EB          XBA                    A:1D4E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:299 F:17
								84918F 29 1F 00    AND #$001F             A:4E1D X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:303 F:17
								849192 85 04       STA $04       [000004] A:001D X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:308 F:17
								849194 A5 02       LDA $02       [000002] A:001D X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:315 F:17
								849196 29 00 1F    AND #$1F00             A:039E X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:322 F:17
								849199 4A          LSR A                  A:0300 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:326 F:17
								84919A 4A          LSR A                  A:0180 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:328 F:17
								84919B 4A          LSR A                  A:00C0 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:331 F:17
								84919C 18          CLC                    A:0060 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:334 F:17
								84919D 65 04       ADC $04       [000004] A:0060 X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:260 H:337 F:17
								84919F A8          TAY                    A:007D X:0E68 Y:CFD1 S:0119 D:0000 DB:86 nvmxdizc V:261 H:  4 F:17
								8491A0 B7 10       LDA [$10],Y   [7EE87D] A:007D X:0E68 Y:007D S:0119 D:0000 DB:86 nvmxdizc V:261 H:  7 F:17
								8491A2 29 FF 00    AND #$00FF             A:0024 X:0E68 Y:007D S:0119 D:0000 DB:86 nvmxdizc V:261 H: 20 F:17
								8491A5 A8          TAY                    A:0024 X:0E68 Y:007D S:0119 D:0000 DB:86 nvmxdizc V:261 H: 25 F:17
								8491A6 EB          XBA                    A:0024 X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:261 H: 28 F:17
								8491A7 0A          ASL A                  A:2400 X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdiZc V:261 H: 32 F:17
								8491A8 18          CLC                    A:4800 X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:261 H: 35 F:17
								8491A9 65 06       ADC $06       [000006] A:4800 X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:261 H: 38 F:17
								8491AB AA          TAX                    A:4928 X:0E68 Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:261 H: 45 F:17
								8491AC 60          RTS                    A:4928 X:4928 Y:0024 S:0119 D:0000 DB:86 nvmxdizc V:261 H: 48 F:17

							8490F9 BF 00 20 7E LDA $7E2000,X [7E6928] A:4928 X:4928 Y:0024 S:011B D:0000 DB:86 nvmxdizc V:261 H: 58 F:17
							8490FD A8          TAY                    A:01B4 X:4928 Y:0024 S:011B D:0000 DB:86 nvmxdizc V:261 H: 68 F:17
							8490FE AD 92 0B    LDA $0B92     [860B92] A:01B4 X:4928 Y:01B4 S:011B D:0000 DB:86 nvmxdizc V:261 H: 71 F:17
							849101 85 10       STA $10       [000010] A:EB15 X:4928 Y:01B4 S:011B D:0000 DB:86 Nvmxdizc V:261 H: 80 F:17
							849103 AD 94 0B    LDA $0B94     [860B94] A:EB15 X:4928 Y:01B4 S:011B D:0000 DB:86 Nvmxdizc V:261 H: 87 F:17
							849106 85 12       STA $12       [000012] A:F895 X:4928 Y:01B4 S:011B D:0000 DB:86 Nvmxdizc V:261 H: 95 F:17
							849108 B7 10       LDA [$10],Y   [95ECC9] A:F895 X:4928 Y:01B4 S:011B D:0000 DB:86 Nvmxdizc V:261 H:102 F:17
							84910A 29 FF 00    AND #$00FF             A:0000 X:4928 Y:01B4 S:011B D:0000 DB:86 nvmxdiZc V:261 H:114 F:17
							84910D 28          PLP                    A:0000 X:4928 Y:01B4 S:011B D:0000 DB:86 nvmxdiZc V:261 H:119 F:17
							84910E FA          PLX                    A:0000 X:4928 Y:01B4 S:011C D:0000 DB:86 NvMxdizC V:261 H:125 F:17
							84910F 2B          PLD                    A:0000 X:0E68 Y:01B4 S:011E D:0000 DB:86 nvMxdizC V:261 H:134 F:17
							849110 60          RTS                    A:0000 X:0E68 Y:01B4 S:0120 D:0000 DB:86 nvMxdiZC V:261 H:152 F:17

						849318 B4 05       LDY $05,X     [000E6D] A:0000 X:0E68 Y:01B4 S:0122 D:0000 DB:86 nvMxdiZC V:261 H:162 F:17
						84931A 84 10       STY $10       [000010] A:0000 X:0E68 Y:1D7E S:0122 D:0000 DB:86 nvMxdizC V:261 H:171 F:17
						84931C B4 08       LDY $08,X     [000E70] A:0000 X:0E68 Y:1D7E S:0122 D:0000 DB:86 nvMxdizC V:261 H:178 F:17
						84931E 84 12       STY $12       [000012] A:0000 X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdizC V:261 H:186 F:17
						849320 95 2D       STA $2D,X     [000E95] A:0000 X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdizC V:261 H:193 F:17
						849322 86 2C       STX $2C       [00002C] A:0000 X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdizC V:261 H:200 F:17
						849324 29 3F       AND #$3F               A:0000 X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdizC V:261 H:207 F:17
						849326 0A          ASL A                  A:0000 X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdiZC V:261 H:210 F:17
						849327 EB          XBA                    A:0000 X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdiZc V:261 H:213 F:17
						849328 A9 00       LDA #$00               A:0000 X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdiZc V:261 H:217 F:17
						84932A EB          XBA                    A:0000 X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdiZc V:261 H:220 F:17
						84932B AA          TAX                    A:0000 X:0E68 Y:03A2 S:0122 D:0000 DB:86 nvMxdiZc V:261 H:225 F:17
						84932C FC 5D 93    JSR ($935D,X) [84935D] A:0000 X:0000 Y:03A2 S:0122 D:0000 DB:86 nvMxdiZc V:261 H:228 F:17

							84977A A9 00       LDA #$00               A:0000 X:0000 Y:03A2 S:0120 D:0000 DB:86 nvMxdiZc V:261 H:241 F:17
							84977C 60          RTS                    A:0000 X:0000 Y:03A2 S:0120 D:0000 DB:86 nvMxdiZc V:261 H:244 F:17

						84932F 08          PHP                    A:0000 X:0000 Y:03A2 S:0122 D:0000 DB:86 nvMxdiZc V:261 H:254 F:17
